"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","16:53hrs Status terkini, trafik sesak selepas keluar Tol Sungai Besi menuju Pusat Bandar. Pandu cermat.… https://t.co/WOhpbjZiyV",FALSE,2,NA,"2019-10-16 08:53:42",TRUE,NA,1184391959638491136,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"2","16:34hrs Trafik perlahan di NKVE dari Subang ke Shah Alam. Aliran trafik tinggi. @LLMinfotrafik",FALSE,1,NA,"2019-10-16 08:34:41",FALSE,NA,1184387171525939200,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"3","16:34hrs Trafik perlahan di NKVE dari Subang ke Dataran Prima. Aliran trafik tinggi. @LLMinfotrafik",FALSE,0,NA,"2019-10-16 08:34:16",FALSE,NA,1184387069818200064,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"4","16:12hrs Kerja penyelenggaraan km 410 - km 411.1 arah Selatan dari Tanjung Malim ke Bukit Tagar. Lorong kiri, Loron… https://t.co/TEMnKqMmlw",FALSE,1,NA,"2019-10-16 08:12:44",TRUE,NA,1184381649737240576,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"5","16:09hrs Kerja penyelenggaraan km 263 - km 260 arah Selatan dari Seremban ke Port Dickson. Lorong kiri ditutup. Tra… https://t.co/qP5VmRd1u6",FALSE,0,NA,"2019-10-16 08:09:42",TRUE,NA,1184380884159303680,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"6","16:03hrs Kerja penyelenggaraan km 150.2 - km 148.6 arah Selatan dari Bukit Gambir ke Pagoh. Lorong kanan ditutup. T… https://t.co/vZvHvT4cOB",FALSE,0,NA,"2019-10-16 08:03:43",TRUE,NA,1184379380635553792,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"7","15:58hrs Trafik perlahan selepas keluar Tol Sungai Besi ke Pusat Bandar. Aliran trafik tinggi. @LLMinfotrafik",FALSE,0,NA,"2019-10-16 07:58:56",FALSE,NA,1184378174018244608,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"8","15:58hrs Trafik perlahan di ELITE dari Shah Alam ke Seafield. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,0,NA,"2019-10-16 07:58:22",FALSE,NA,1184378032296841216,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"9","15:57hrs Trafik perlahan di ELITE dari Putra Heights ke USJ. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,1,NA,"2019-10-16 07:57:26",FALSE,NA,1184377800490283008,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"10","15:42hrs Kemalangan km 9.1 arah Utara dari Shah Alam ke Subang. Lorong kiri terhalang. Trafik perlahan. Pandu berhati-hati. @LLMinfotrafik",FALSE,0,NA,"2019-10-16 07:42:21",FALSE,NA,1184374001373564928,NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
