"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"20:34hrs Kemalangan Km 174.9 arah Selatan dari Jawi ke Bandar Baharu. Tiada lorong terhalang. Trafik terkawal. Pandu cermat. @LLMinfotrafik",FALSE,0,NA,2019-11-05 12:34:24,FALSE,NA,"1191695255151636480",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"20:08hrs Kerja pengalihan kemalangan masih di jalankan di Km 305.8 arah utara dari Tapah ke Gopeng. Lorong kiri mas… https://t.co/IPzf1Md6eY",FALSE,0,NA,2019-11-05 12:08:09,TRUE,NA,"1191688652130095105",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",1,FALSE,FALSE,NA,NA
"19:35hrs Trafik kembali terkawal dari Bukit lanjan ke Rawang (S).Pandu berhati-hati. @LLMinfotrafik https://t.co/fF4bgIcxrN",FALSE,0,NA,2019-11-05 11:36:39,FALSE,NA,"1191680723457052672",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:13hrs Trafik perlahan di Jambatan P. Pinang dari Pulau ke Perai. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,0,NA,2019-11-05 11:13:15,FALSE,NA,"1191674836096962566",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:07hrs Status terkini,trafik perlahan dari Kota damansara ke Hospital Sungai Buloh.Aliran trafik tinggi.… https://t.co/dQ7S6tYPdg",FALSE,0,NA,2019-11-05 11:08:20,TRUE,NA,"1191673597569298433",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"19:03hrs Kerja pengalihan kemalangan di km 305.8 arah utara dari Tapah ke Gopeng.Lorong kiri ditutup.Trafik perlaha… https://t.co/akesxRbAay",FALSE,0,NA,2019-11-05 11:04:19,TRUE,NA,"1191672584934309888",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"18:59hrs Kerja penyelenggaraan Km 305.3 - Km 306.7 arah Selatan dari Gopeng ke Tapah. Lorong kiri ditutup. Trafik p… https://t.co/nc9GUVJohY",FALSE,0,NA,2019-11-05 11:01:02,TRUE,NA,"1191671762368385027",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:59hrs Trafik perlahan dari Persimpangan Pandan ke Dato Onn. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,1,NA,2019-11-05 10:59:06,FALSE,NA,"1191671275204288512",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:58hrs Trafik perlahan dari Gopeng ke Tapah. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,0,NA,2019-11-05 10:58:30,FALSE,NA,"1191671120916668416",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:55hrs Trafik perlahan di ELITE dari USJ ke Bandar Saujana Putra. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-11-05 10:55:11,FALSE,NA,"1191670286128541696",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:53hrs Trafik perlahan di NKVE dari Subang ke Shah Alam. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,1,NA,2019-11-05 10:53:14,FALSE,NA,"1191669795378225152",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:46hrs Trafik perlahan dari Bukit Lanjan ke Rawang (S). Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-11-05 10:45:46,FALSE,NA,"1191667919576428544",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:33hrs Status terkini, trafik kembali lancar. Selamat memanud. @LLMinfotrafik https://t.co/n7yME9TlTp",FALSE,0,NA,2019-11-05 10:33:02,FALSE,NA,"1191664714729680896",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:32hrs Status terkini, insiden selesai sepenuhnya &amp; trafik masih perlahan 7km. Awasi jarak selamat kenderaan anda… https://t.co/9Dm3ZzdSqp",FALSE,0,NA,2019-11-05 10:32:09,TRUE,NA,"1191664489726234625",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:29hrs Trafik perlahan di ELITE dari Seafield ke Bandar Saujana Putra. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,0,NA,2019-11-05 10:29:23,FALSE,NA,"1191663795652849667",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:26hrs Trafik perlahan dari Bertam ke Sungai Dua.*dalam pemantauan. Harap maklum @LLMinfotrafik",FALSE,0,NA,2019-11-05 10:26:32,FALSE,NA,"1191663079433670656",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:23hrs Trafik perlahan di sepanjang  Jambatan P. Pinang dari Pulau ke Perai. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,0,NA,2019-11-05 10:23:31,FALSE,NA,"1191662320251916288",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:20hrs Status terkini, lorong kanan telah dibuka &amp; trafik masih perlahan 5km. Harap maklum.@LLMinfotrafik https://t.co/KUuV6Xtb3r",FALSE,0,NA,2019-11-05 10:20:06,FALSE,NA,"1191661456988655616",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:15hrs Kemalangan di Persimpangan Bukit Lanjan dari Sungai Buloh ke Jalan Duta. Lorong kanan terhalang &amp; trafik p… https://t.co/m8VxEuUd0U",FALSE,0,NA,2019-11-05 10:14:56,TRUE,NA,"1191660160424566785",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:13hrs Status terkini, lorong kiri masih terhalang &amp; trafik sesak 6km. Harap maklum. @LLMinfotrafik https://t.co/uCZ9QnwJPs",FALSE,1,NA,2019-11-05 10:13:37,FALSE,NA,"1191659828449550336",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",2,FALSE,FALSE,NA,NA
"18:06hrs Status terkini, lorong kanan masih terhalang &amp; trafik sesak 8km. Harap maklum.@LLMinfotrafik https://t.co/8Q3MMeuErS",FALSE,0,NA,2019-11-05 10:06:03,FALSE,NA,"1191657921282633734",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",1,FALSE,FALSE,NA,NA
"18:04hrs Trafik perlahan di ELITE dari USJ ke Shah Alam. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,0,NA,2019-11-05 10:04:52,FALSE,NA,"1191657627442397184",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"18:00hrs Trafik perlahan dari USJ ke Putra Heights.*Dalam pemantauan* @LLMinfotrafik",FALSE,0,NA,2019-11-05 10:00:33,FALSE,NA,"1191656539364450304",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:48hrs Trafik perlahan di NKVE dari Subang ke Shah Alam. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,1,NA,2019-11-05 09:48:32,FALSE,NA,"1191653516344868864",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"17:47hrs Trafik perlahan dari selepas keluar Sungai Besi ke Pusat Bandar. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,0,NA,2019-11-05 09:47:41,FALSE,NA,"1191653301202378752",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:34hrs Status terkini, lorong telah dibuka &amp; trafik lancar. Harap maklum. @LLMinfotrafik https://t.co/QMjx7vyAkj",FALSE,0,NA,2019-11-05 09:34:04,FALSE,NA,"1191649876100018177",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:33hrs Status terkini, semua lorong telah dibuka &amp; trafik masih perlahan. Harap maklum. @LLMinfotrafik https://t.co/DE5oGudg7N",FALSE,0,NA,2019-11-05 09:33:31,FALSE,NA,"1191649733980250113",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:31hrs Status terkini, kerja pengalihan kemalangan sedang dijalankan. Lorong kanan masih ditutup &amp; trafik perlaha… https://t.co/8VFID4uiac",FALSE,0,NA,2019-11-05 09:31:39,TRUE,NA,"1191649267628167169",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:26hrs Status terkini, lorong kanan &amp; tengah masih ditutup. Trafik perlahan &amp; patuhi arahan papan tanda. Harap ma… https://t.co/o7ZXmgJ9DC",FALSE,1,NA,2019-11-05 09:25:58,TRUE,NA,"1191647834811985920",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:08hrs Status terkini, kemalangan di ELITE Km 43.7 arah Selatan dari Bandar Serenia ke Nilai Utara. Lorong kiri m… https://t.co/7SR8larsMm",FALSE,0,NA,2019-11-05 09:10:24,TRUE,NA,"1191643919936712704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"16:59hrs Status terkini, trafik perlahan 3km. Patuhi arahan papan tanda. Harap maklum.@LLMinfotrafik https://t.co/KUuV6Xtb3r",FALSE,0,NA,2019-11-05 08:59:26,FALSE,NA,"1191641160466305024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"16:55hrs Kerja penyelenggaraan Km 305.3 - Km 306.7 arah Selatan dari Gopeng ke Tapah. Lorong kanan ditutup. Trafik… https://t.co/uHYKbBLl3K",FALSE,0,NA,2019-11-05 08:55:16,TRUE,NA,"1191640111621894144",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"16:43hrs Status terkini, kemalangan Km 448.1 arah Utara dari Sungai Buloh Hospital ke Rawang (S). Lorong kanan masi… https://t.co/8BRytVjg8V",FALSE,0,NA,2019-11-05 08:43:43,TRUE,NA,"1191637205413818369",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",1,FALSE,FALSE,NA,NA
"16:37hrs Status terkini, insiden selesai sepenuhnya &amp; trafik masih perlahan. Awasi jarak selamat kenderaan anda.… https://t.co/vZKdq6fWlY",FALSE,0,NA,2019-11-05 08:37:27,TRUE,NA,"1191635625977372673",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"16:26hrs Status terkini, lorong kiri masih terhalang &amp; trafik perlahan 4km. Awasi jarak selamat kenderaan anda.… https://t.co/weo5bSPRjO",FALSE,0,NA,2019-11-05 08:26:07,TRUE,NA,"1191632774634979328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"16:11hrs Kemalangan Km 214.8 arah Selatan dari Taiping (u) ke Changkat Jering. Tiada lorong terhalang &amp; trafik terk… https://t.co/EgZy2vA3oW",FALSE,1,NA,2019-11-05 08:11:37,TRUE,NA,"1191629123845648386",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",1,FALSE,FALSE,NA,NA
"16:08hrs Kemalangan di ELITE Km 43.7 arah Selatan dari Bandar Serenia ke Nilai Utara. Lorong kiri terhalang. Trafik… https://t.co/8pkYnHdeYP",FALSE,1,NA,2019-11-05 08:10:24,TRUE,NA,"1191628817124618240",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"15:57hrs Kemalangan melibatkan kontena dan kereta. Lorong kanan terhalang &amp; trafik perlahan. Awasi jarak selamat ke… https://t.co/fnkirP2boq",FALSE,2,NA,2019-11-05 07:57:11,TRUE,NA,"1191625492715040770",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",2,FALSE,FALSE,NA,NA
