"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"17:47hrs Trafik perlahan di Jambatan P. Pinang dari arah Pulau ke Perai. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-10-31 09:47:49,FALSE,NA,"1189841396368203778",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"17:46hrs Trafik perlahan di ELITE dari Shah Alam menuju ke USJ (dalam pemantauan*). Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-10-31 09:47:05,FALSE,NA,"1189841212619943936",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"17:12hrs Maklumat awal kemalangan di ELITE Km 1.2 arah Selatan dari Shah Alam ke Seafield. Pandu berhati-hati. Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-10-31 09:12:48,FALSE,NA,"1189832584231972864",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"16:56hrs Status terkini, lorong kiri masih ditutup.Trafik perlahan. Patuhi arahan papan tanda. @LLMinfotrafik https://t.co/LioOA88DDW",FALSE,1,NA,2019-10-31 08:57:02,FALSE,NA,"1189828615254364160",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"16:49hrs Status terkini, lorong kanan dinbuka.Trafik masih perlahan. Pandu berhati - hati. @LLMinfotrafik https://t.co/Q8jVDe7V0z",FALSE,3,NA,2019-10-31 08:49:54,FALSE,NA,"1189826820822065152",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"16:26hrs Insiden selesai. Traffic lancar. Pandu cermat.@LLMinfotrafik https://t.co/fHcJKG7dMv",FALSE,3,NA,2019-10-31 08:26:21,FALSE,NA,"1189820895277117441",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",0,FALSE,FALSE,NA,NA
"16:07hrs Kerja penyelenggaraan Km 103.7 - Km 104.3 arah Utara dari Yong Peng (U) ke Pagoh. Lorong kiri ditutup. Tra… https://t.co/ZIUT41h5vy",FALSE,2,NA,2019-10-31 08:08:19,TRUE,NA,"1189816355123417088",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"15:44hrs Trafik perlahan dari Simpang Ampat menuju ke Pedas Linggi (dalam pemantauan*). Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-10-31 07:44:41,FALSE,NA,"1189810408309149698",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"15:40hrs Trafik perlahan dari Pandan menuju ke Persimpangan Dato' Onn. Aliran trafik tinggi. Harap maklum. @LLMinfotrafik",FALSE,2,NA,2019-10-31 07:41:21,FALSE,NA,"1189809568924098560",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"15:27hrs Status terkini, lorong kanan masih ditutup. Trafik sesak 5Km. Patuhi arahan papan tanda. @LLMinfotrafik https://t.co/Q8jVDe7V0z",FALSE,3,NA,2019-10-31 07:27:56,FALSE,NA,"1189806191439822848",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"15:12hrs Kemalangan kereta Km 258 arah Utara dari Terowong Menora ke Kuala Kangsar. Status terkini, insiden selesai… https://t.co/s22Jwr9jBp",FALSE,5,NA,2019-10-31 07:13:30,TRUE,NA,"1189802561877889024",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"14:57hrs Status terkini, lorong kanan dibuka &amp; kenderaan terlibat telah dialihkan ke lorong kecemasan.Trafik kembal… https://t.co/iBc0oxAyqF",FALSE,5,NA,2019-10-31 06:59:21,TRUE,NA,"1189798997604495365",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
